_id,interaction_id,user_id,session_id,interaction_type,query,number_of_retrieved_docs,createdAt,updatedAt,__v
65f9b9b84c7a4838bcb5187f,671330bf-7d9a-4e40-a581-cdd654aefd55,557fef0a-6839-4000-aa63-d893e24b8536,a5cade73-3dd6-4d38-819e-16a4a116a198,google,issues fossil energy sources,"127,000,000",2024-03-19 16:13:44.770,2024-03-19 16:13:44.770,0
65f9ba014c7a4838bcb51887,671330bf-7d9a-4e40-a581-cdd654aefd55,557fef0a-6839-4000-aa63-d893e24b8536,a5cade73-3dd6-4d38-819e-16a4a116a198,google,issues fossil energy sources  home heating,"51,500,000",2024-03-19 16:14:57.956,2024-03-19 16:14:57.956,0
65f9ba804c7a4838bcb51889,671330bf-7d9a-4e40-a581-cdd654aefd55,557fef0a-6839-4000-aa63-d893e24b8536,a5cade73-3dd6-4d38-819e-16a4a116a198,google,issues solar panels home heating,"207,000,000",2024-03-19 16:17:04.806,2024-03-19 16:17:04.806,0
65f9bc6b4c7a4838bcb51895,8ff4cdd3-65bc-4738-8c44-9dba3078423f,557fef0a-6839-4000-aa63-d893e24b8536,8b307c17-753f-45d5-ad56-129ac7904fb0,google,reasons of high blood pressure,"1,480,000,000",2024-03-19 16:25:15.998,2024-03-19 16:25:15.998,0
65f9bda64c7a4838bcb518ab,2203bcc5-b4f5-4bdc-9af4-b86fe400c9cf,557fef0a-6839-4000-aa63-d893e24b8536,1eb8ec0e-050d-445e-be91-cbcc0b97de25,google,one specie of dangerous ant,"12,300,000",2024-03-19 16:30:30.228,2024-03-19 16:30:30.228,0
65f9beb14c7a4838bcb518c0,b4cf493e-15e3-477d-b3aa-e12d41bc59eb,0122fc9e-4674-4d34-ac15-ea13d0a9e037,406061dc-10cd-4b24-adbf-31db4fecdd9d,google,what causes high blood pressure,"1,150,000,000",2024-03-19 16:34:57.961,2024-03-19 16:34:57.961,0
65f9bf314c7a4838bcb518cc,6c7b5317-3648-462f-8ce9-33dc0787bbb3,0122fc9e-4674-4d34-ac15-ea13d0a9e037,c330ad5e-0992-4e1c-a08c-f7c4aa5cbc05,google,Name one specie of ant,"73,000,000",2024-03-19 16:37:05.070,2024-03-19 16:37:05.070,0
65f9bf674c7a4838bcb518d0,6c7b5317-3648-462f-8ce9-33dc0787bbb3,0122fc9e-4674-4d34-ac15-ea13d0a9e037,c330ad5e-0992-4e1c-a08c-f7c4aa5cbc05,google,Name one specie of dangerous ant,"18,900,000",2024-03-19 16:37:59.855,2024-03-19 16:37:59.855,0
65f9c04b4c7a4838bcb518e3,d08655ac-e7c2-4d17-925a-2b8c168243fc,0122fc9e-4674-4d34-ac15-ea13d0a9e037,17813491-6f12-4ca1-8fc7-7f724ead5abe,google,disadvantages of fossil energy sources,"55,500,000",2024-03-19 16:41:47.394,2024-03-19 16:41:47.394,0
65f9c0704c7a4838bcb518e7,d08655ac-e7c2-4d17-925a-2b8c168243fc,0122fc9e-4674-4d34-ac15-ea13d0a9e037,17813491-6f12-4ca1-8fc7-7f724ead5abe,google,drawbacks of solar panels,"9,550,000",2024-03-19 16:42:24.355,2024-03-19 16:42:24.355,0
